,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,class,predicted
70,> 45,services,single,primary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
71,<= 34,management,married,tertiary,no,> 1158,no,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
72,(34 - 45],retired,divorced,primary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
73,(34 - 45],blue-collar,married,primary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
74,(34 - 45],technician,single,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
75,(34 - 45],services,single,unknown,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
76,(34 - 45],technician,married,tertiary,no,<= 235,yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
77,<= 34,self-employed,single,tertiary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
78,<= 34,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
79,<= 34,blue-collar,married,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
80,<= 34,admin.,single,secondary,no,<= 235,yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
81,(34 - 45],services,divorced,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
82,<= 34,blue-collar,single,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
83,<= 34,technician,single,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
84,> 45,admin.,divorced,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
85,<= 34,technician,single,tertiary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,1
86,> 45,management,single,tertiary,no,> 1158,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
87,<= 34,technician,single,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
88,<= 34,blue-collar,married,primary,no,(235 - 1158],yes,yes,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
89,(34 - 45],management,single,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
90,(34 - 45],admin.,single,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
91,> 45,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
92,<= 34,admin.,married,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
93,<= 34,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
94,(34 - 45],services,divorced,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
95,(34 - 45],management,divorced,tertiary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
96,<= 34,technician,single,tertiary,no,(235 - 1158],yes,yes,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
97,(34 - 45],technician,married,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
98,(34 - 45],blue-collar,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
99,(34 - 45],blue-collar,divorced,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
100,<= 34,services,single,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
101,(34 - 45],blue-collar,married,primary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
102,<= 34,blue-collar,married,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
103,(34 - 45],services,married,secondary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
104,<= 34,technician,single,secondary,no,<= 235,yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
105,<= 34,admin.,single,secondary,no,(235 - 1158],yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
106,(34 - 45],technician,divorced,secondary,no,(235 - 1158],yes,no,unknown,(11 - 20],may,> 2,-1,0,unknown,1,0
107,(34 - 45],blue-collar,married,primary,no,(235 - 1158],yes,yes,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
108,(34 - 45],blue-collar,married,unknown,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
109,(34 - 45],blue-collar,married,primary,no,> 1158,yes,no,unknown,(11 - 20],may,<= 2,-1,0,unknown,1,0
110,<= 34,blue-collar,single,primary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
111,<= 34,blue-collar,married,secondary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
112,<= 34,technician,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
113,(34 - 45],management,married,tertiary,no,(235 - 1158],yes,yes,unknown,> 20,may,<= 2,-1,0,unknown,1,0
114,<= 34,blue-collar,single,secondary,yes,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
115,(34 - 45],technician,single,secondary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
116,(34 - 45],blue-collar,married,primary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
117,<= 34,management,single,tertiary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
118,<= 34,technician,married,secondary,no,> 1158,yes,yes,unknown,> 20,may,<= 2,-1,0,unknown,1,0
119,<= 34,retired,married,primary,no,> 1158,no,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
120,<= 34,technician,single,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
121,<= 34,technician,single,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
122,(34 - 45],technician,single,secondary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
123,<= 34,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
124,<= 34,blue-collar,married,secondary,no,<= 235,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
125,(34 - 45],blue-collar,married,primary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
126,(34 - 45],self-employed,divorced,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
127,<= 34,blue-collar,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
128,(34 - 45],blue-collar,divorced,primary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
129,(34 - 45],admin.,married,secondary,no,<= 235,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
130,<= 34,blue-collar,married,secondary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
131,(34 - 45],management,divorced,tertiary,no,> 1158,no,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
132,(34 - 45],blue-collar,married,primary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
133,<= 34,blue-collar,married,secondary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
134,<= 34,technician,married,tertiary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
135,(34 - 45],technician,divorced,secondary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
136,<= 34,services,married,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
137,(34 - 45],blue-collar,married,secondary,no,<= 235,no,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
138,<= 34,self-employed,single,tertiary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
139,<= 34,admin.,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
140,(34 - 45],blue-collar,divorced,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
141,<= 34,management,married,tertiary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
142,(34 - 45],admin.,divorced,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
143,<= 34,admin.,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
144,<= 34,management,divorced,tertiary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
145,> 45,services,married,secondary,no,<= 235,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
146,<= 34,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
147,<= 34,services,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
148,> 45,retired,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
149,<= 34,entrepreneur,single,primary,no,<= 235,yes,yes,unknown,> 20,may,<= 2,-1,0,unknown,1,0
150,(34 - 45],admin.,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
151,<= 34,admin.,single,secondary,no,<= 235,yes,yes,unknown,> 20,may,<= 2,-1,0,unknown,1,0
152,<= 34,blue-collar,married,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
153,(34 - 45],services,divorced,secondary,no,<= 235,yes,yes,unknown,> 20,may,<= 2,-1,0,unknown,1,0
154,<= 34,management,married,tertiary,no,(235 - 1158],no,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
155,<= 34,management,single,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
156,<= 34,technician,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
157,<= 34,services,single,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
158,<= 34,self-employed,single,secondary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
159,<= 34,management,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
160,<= 34,services,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
161,<= 34,management,single,tertiary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
162,<= 34,student,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
163,> 45,entrepreneur,married,unknown,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
164,(34 - 45],blue-collar,married,secondary,no,<= 235,yes,yes,unknown,> 20,may,<= 2,-1,0,unknown,1,0
165,(34 - 45],admin.,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
166,> 45,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
167,(34 - 45],unemployed,divorced,secondary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
168,> 45,blue-collar,divorced,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
169,> 45,technician,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
170,<= 34,management,single,tertiary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
171,<= 34,admin.,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,1
172,(34 - 45],blue-collar,divorced,primary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
173,<= 34,blue-collar,single,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
174,(34 - 45],management,divorced,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
175,<= 34,blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
176,(34 - 45],blue-collar,single,primary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
177,(34 - 45],management,single,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
178,(34 - 45],technician,married,secondary,no,<= 235,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
179,(34 - 45],blue-collar,single,secondary,no,(235 - 1158],yes,yes,unknown,> 20,may,<= 2,-1,0,unknown,1,0
180,(34 - 45],management,divorced,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
181,(34 - 45],management,single,tertiary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
182,(34 - 45],admin.,divorced,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
183,(34 - 45],services,married,primary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
184,(34 - 45],unemployed,divorced,secondary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
185,> 45,management,divorced,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
186,(34 - 45],technician,divorced,secondary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
187,<= 34,technician,divorced,secondary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
188,<= 34,services,married,secondary,no,<= 235,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
189,> 45,unemployed,married,secondary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
190,(34 - 45],blue-collar,married,secondary,no,(235 - 1158],yes,yes,unknown,> 20,may,> 2,-1,0,unknown,1,0
191,(34 - 45],technician,single,secondary,no,> 1158,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
192,> 45,blue-collar,divorced,primary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
193,> 45,management,single,tertiary,no,> 1158,yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
194,<= 34,management,single,tertiary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
195,(34 - 45],technician,single,secondary,no,(235 - 1158],yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
196,<= 34,unemployed,divorced,primary,no,<= 235,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
197,<= 34,management,single,tertiary,no,<= 235,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
198,> 45,entrepreneur,single,secondary,no,<= 235,yes,no,unknown,> 20,may,> 2,-1,0,unknown,1,0
199,<= 34,blue-collar,married,primary,no,(235 - 1158],yes,no,unknown,> 20,may,<= 2,-1,0,unknown,1,0
200,(34 - 45],management,married,tertiary,no,> 1158,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
201,(34 - 45],services,married,secondary,no,> 1158,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
202,(34 - 45],blue-collar,married,primary,no,<= 235,yes,yes,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
203,(34 - 45],services,married,primary,no,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
204,<= 34,technician,married,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
205,(34 - 45],services,married,secondary,no,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
206,(34 - 45],management,single,tertiary,no,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
207,(34 - 45],management,married,tertiary,no,(235 - 1158],yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
208,<= 34,blue-collar,single,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
209,(34 - 45],blue-collar,married,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
210,(34 - 45],technician,single,secondary,yes,<= 235,yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
211,<= 34,blue-collar,married,primary,no,(235 - 1158],yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
212,<= 34,blue-collar,single,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
213,(34 - 45],management,divorced,tertiary,yes,<= 235,yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
214,<= 34,technician,single,secondary,no,> 1158,yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
215,<= 34,unemployed,married,secondary,no,<= 235,yes,yes,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
216,(34 - 45],self-employed,married,secondary,yes,<= 235,yes,yes,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
217,(34 - 45],entrepreneur,married,secondary,no,<= 235,no,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
218,<= 34,management,single,secondary,no,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,1
219,(34 - 45],services,single,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
220,<= 34,services,single,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
221,<= 34,management,married,primary,no,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
222,<= 34,blue-collar,single,secondary,yes,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,1
223,> 45,blue-collar,divorced,primary,no,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
224,(34 - 45],admin.,married,secondary,no,<= 235,yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
225,<= 34,technician,single,tertiary,no,> 1158,yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
226,(34 - 45],management,divorced,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
227,<= 34,admin.,divorced,secondary,no,(235 - 1158],yes,no,unknown,<= 11,jun,> 2,-1,0,unknown,1,0
228,<= 34,services,single,secondary,no,<= 235,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
229,(34 - 45],blue-collar,married,primary,no,> 1158,yes,no,unknown,<= 11,jun,<= 2,-1,0,unknown,1,0
