,age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,class,predicted
22,<= 31,Private,High School grad,Separated,Blue-Collar,Unmarried,Black,Male,0,0,> 40,0,0
23,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
24,(31 - 44],Self-emp-not-inc,High School grad,Never-Married,Professional,Not-in-family,White,Male,0,0,> 40,0,0
25,> 44,State-gov,High School grad,Married,White-Collar,Husband,Black,Male,High,0,<= 40,1,1
26,> 44,Self-emp-not-inc,Dropout,Widowed,Service,Unmarried,White,Female,0,0,> 40,0,0
27,<= 31,Self-emp-not-inc,Bachelors,Never-Married,Sales,Not-in-family,White,Male,0,0,> 40,0,0
28,<= 31,Local-gov,High School grad,Married,Other,Husband,White,Male,0,0,<= 40,0,0
29,<= 31,Private,High School grad,Separated,White-Collar,Unmarried,White,Female,0,0,<= 40,0,0
30,(31 - 44],Local-gov,Bachelors,Married,Professional,Husband,White,Male,0,0,<= 40,1,1
31,<= 31,Private,Dropout,Never-Married,Service,Not-in-family,White,Male,0,0,> 40,0,0
32,<= 31,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
33,<= 31,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<= 40,0,0
34,> 44,Private,Masters,Married,Professional,Husband,White,Male,0,0,> 40,1,1
35,(31 - 44],Self-emp-inc,Associates,Married,Sales,Husband,White,Male,0,0,> 40,1,1
36,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
37,<= 31,Private,Dropout,Married,Service,Husband,White,Male,0,0,<= 40,0,0
38,<= 31,State-gov,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<= 40,0,0
39,<= 31,Private,Associates,Married,Professional,Wife,White,Female,0,0,<= 40,1,0
40,(31 - 44],Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
41,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,> 40,0,0
42,> 44,Private,Dropout,Separated,Service,Not-in-family,Black,Female,0,0,<= 40,0,0
43,> 44,Self-emp-inc,High School grad,Widowed,White-Collar,Not-in-family,White,Female,0,0,> 40,0,0
44,<= 31,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<= 40,0,0
45,(31 - 44],Private,High School grad,Separated,Blue-Collar,Own-child,Black,Male,0,0,<= 40,0,0
46,<= 31,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,Low,<= 40,0,0
47,<= 31,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,High,0,> 40,1,1
48,(31 - 44],Private,Dropout,Separated,White-Collar,Not-in-family,White,Male,0,0,> 40,0,0
49,<= 31,Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<= 40,0,0
50,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
51,(31 - 44],Local-gov,Bachelors,Married,White-Collar,Husband,White,Male,Low,0,> 40,1,1
52,(31 - 44],Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,Low,0,> 40,1,1
53,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
54,<= 31,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,0,0,> 40,0,0
55,(31 - 44],Private,High School grad,Separated,Sales,Not-in-family,White,Male,0,0,<= 40,0,0
56,<= 31,Private,Masters,Never-Married,White-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
57,(31 - 44],Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Female,0,0,<= 40,0,0
58,> 44,Local-gov,High School grad,Separated,Admin,Not-in-family,White,Female,0,0,<= 40,0,0
59,(31 - 44],Self-emp-inc,Associates,Married,Blue-Collar,Husband,White,Male,High,0,> 40,1,1
60,<= 31,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<= 40,0,0
61,> 44,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
62,(31 - 44],Private,High School grad,Married,Sales,Husband,White,Male,0,0,> 40,0,0
63,> 44,Private,High School grad,Married,White-Collar,Husband,White,Male,High,0,> 40,1,1
64,> 44,Private,Associates,Married,Other,Husband,White,Male,0,0,<= 40,0,1
65,<= 31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
66,<= 31,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
67,> 44,Private,High School grad,Married,Blue-Collar,Husband,Other,Male,0,0,<= 40,0,0
68,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,0,0
69,> 44,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,<= 40,0,0
70,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
71,<= 31,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,<= 40,0,0
72,> 44,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,0,0
73,<= 31,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
74,<= 31,Private,High School grad,Separated,Service,Not-in-family,White,Male,0,Low,<= 40,0,0
75,<= 31,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,0,0
76,(31 - 44],Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,0,0,> 40,0,0
77,<= 31,Federal-gov,Dropout,Never-Married,Service,Own-child,White,Female,0,0,<= 40,0,0
78,> 44,Private,High School grad,Married,Sales,Husband,White,Male,0,0,> 40,1,0
79,<= 31,Federal-gov,High School grad,Never-Married,Military,Not-in-family,White,Male,0,0,<= 40,0,0
80,> 44,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
81,> 44,Federal-gov,Dropout,Never-Married,Service,Not-in-family,Black,Male,0,0,<= 40,0,0
82,(31 - 44],Private,Masters,Married,Professional,Wife,White,Female,Low,0,<= 40,1,1
83,> 44,Federal-gov,Bachelors,Separated,Admin,Not-in-family,White,Male,0,0,<= 40,0,0
84,(31 - 44],Private,Masters,Never-Married,Service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,<= 40,0,0
85,<= 31,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<= 40,0,0
86,<= 31,Private,Bachelors,Never-Married,White-Collar,Own-child,White,Female,0,0,<= 40,0,0
87,> 44,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
88,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,1,1
89,<= 31,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,<= 40,0,0
90,(31 - 44],Private,High School grad,Never-Married,Admin,Unmarried,Black,Female,0,0,<= 40,0,0
91,<= 31,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<= 40,0,0
92,> 44,Self-emp-not-inc,Dropout,Widowed,Service,Not-in-family,White,Female,0,0,<= 40,0,0
93,> 44,Local-gov,High School grad,Widowed,Admin,Unmarried,White,Female,0,0,<= 40,0,0
94,(31 - 44],Private,Dropout,Separated,Blue-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
95,(31 - 44],Local-gov,High School grad,Married,Other,Husband,White,Male,0,0,<= 40,0,0
96,<= 31,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,Low,0,<= 40,0,0
97,<= 31,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<= 40,0,0
98,<= 31,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,0,0,<= 40,0,0
99,<= 31,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Female,0,0,> 40,0,0
100,<= 31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
101,<= 31,Private,Associates,Married,White-Collar,Husband,White,Male,0,0,<= 40,1,0
102,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
103,<= 31,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<= 40,0,0
104,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
105,<= 31,Private,Dropout,Never-Married,Service,Not-in-family,White,Female,0,0,<= 40,0,0
106,(31 - 44],Private,High School grad,Separated,Admin,Unmarried,White,Female,0,0,<= 40,0,0
107,(31 - 44],Private,Bachelors,Separated,Sales,Unmarried,White,Female,0,0,<= 40,1,0
108,<= 31,Local-gov,Bachelors,Separated,Professional,Unmarried,White,Female,0,0,> 40,0,0
109,<= 31,Private,High School grad,Never-Married,Sales,Own-child,White,Female,0,0,<= 40,0,0
110,<= 31,Private,High School grad,Never-Married,Other,Own-child,White,Male,0,0,<= 40,0,0
111,(31 - 44],Private,High School grad,Separated,Other,Not-in-family,White,Female,0,0,<= 40,0,0
112,(31 - 44],Private,High School grad,Separated,Blue-Collar,Unmarried,White,Female,0,0,<= 40,0,0
113,> 44,Private,High School grad,Separated,Admin,Not-in-family,White,Female,0,0,<= 40,0,0
114,> 44,Federal-gov,Doctorate,Married,Professional,Wife,White,Female,0,0,<= 40,1,1
115,<= 31,Private,High School grad,Never-Married,Professional,Own-child,White,Male,0,0,<= 40,0,0
116,<= 31,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,1,0
117,(31 - 44],Private,Masters,Married,Professional,Husband,White,Male,0,High,> 40,1,1
118,(31 - 44],Private,High School grad,Married,Admin,Husband,White,Male,0,0,<= 40,0,0
119,<= 31,Private,High School grad,Never-Married,Blue-Collar,Unmarried,Black,Female,0,0,<= 40,0,0
120,(31 - 44],Self-emp-inc,Doctorate,Married,Professional,Husband,White,Male,0,0,> 40,1,1
121,> 44,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,> 40,0,0
122,<= 31,Private,Associates,Never-Married,Professional,Not-in-family,White,Female,0,0,<= 40,0,0
123,(31 - 44],Private,High School grad,Married,Sales,Husband,White,Male,0,0,> 40,1,0
124,> 44,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,<= 40,0,0
125,(31 - 44],Private,High School grad,Married,Blue-Collar,Wife,White,Female,0,0,<= 40,0,0
126,<= 31,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
127,> 44,Private,Masters,Married,Professional,Husband,White,Male,0,0,<= 40,0,1
128,<= 31,Private,High School grad,Never-Married,Admin,Own-child,Asian-Pac-Islander,Female,0,0,<= 40,0,0
129,(31 - 44],Private,High School grad,Married,White-Collar,Husband,White,Male,High,0,> 40,1,1
130,(31 - 44],Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,0,Low,> 40,1,1
131,(31 - 44],Private,Masters,Never-Married,Professional,Own-child,White,Female,0,0,<= 40,0,0
132,> 44,Self-emp-not-inc,High School grad,Widowed,White-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
133,(31 - 44],Private,Associates,Widowed,White-Collar,Unmarried,White,Female,0,0,<= 40,0,0
134,(31 - 44],Private,High School grad,Married,Sales,Husband,White,Male,0,0,<= 40,1,0
135,> 44,Private,Bachelors,Married,White-Collar,Husband,White,Male,High,0,> 40,1,1
136,<= 31,Private,High School grad,Never-Married,Sales,Not-in-family,White,Male,Low,0,<= 40,0,0
137,<= 31,Private,High School grad,Never-Married,Service,Not-in-family,Black,Male,0,0,<= 40,0,0
138,<= 31,Private,Dropout,Married,Service,Wife,Black,Female,0,0,<= 40,0,0
139,> 44,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
140,<= 31,Private,Dropout,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<= 40,0,0
141,(31 - 44],State-gov,Bachelors,Married,Admin,Husband,White,Male,0,Low,> 40,1,1
142,<= 31,Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<= 40,0,0
143,<= 31,Local-gov,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
144,<= 31,Private,Bachelors,Never-Married,Sales,Not-in-family,White,Male,0,0,<= 40,0,0
145,(31 - 44],Private,High School grad,Never-Married,Blue-Collar,Unmarried,Black,Female,0,Low,<= 40,0,0
146,(31 - 44],Self-emp-inc,Bachelors,Separated,White-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
147,> 44,Private,Dropout,Married,Service,Husband,White,Male,0,0,<= 40,0,0
148,(31 - 44],Private,High School grad,Married,Sales,Husband,White,Male,0,0,<= 40,0,1
149,<= 31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,0,0
150,<= 31,Private,Bachelors,Never-Married,Sales,Own-child,White,Male,0,0,<= 40,0,0
151,> 44,State-gov,Masters,Married,White-Collar,Husband,White,Male,0,0,> 40,1,1
152,<= 31,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,<= 40,1,0
153,> 44,Self-emp-not-inc,Doctorate,Married,Professional,Husband,White,Male,0,0,<= 40,1,1
154,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,0,0
155,<= 31,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<= 40,0,0
156,> 44,Local-gov,High School grad,Separated,White-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
157,> 44,Private,High School grad,Married,Professional,Husband,White,Male,0,Low,<= 40,1,1
158,(31 - 44],Private,Masters,Never-Married,Professional,Not-in-family,White,Male,0,0,<= 40,0,0
159,<= 31,Private,Bachelors,Never-Married,Admin,Not-in-family,White,Female,0,0,<= 40,0,0
160,> 44,Private,Dropout,Married,White-Collar,Husband,White,Male,0,0,> 40,0,0
161,> 44,Local-gov,Masters,Separated,Admin,Unmarried,Black,Female,0,0,<= 40,0,0
162,(31 - 44],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,> 40,1,0
163,<= 31,Private,Associates,Married,Blue-Collar,Husband,White,Male,0,0,> 40,0,0
164,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
165,(31 - 44],Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,> 40,1,1
166,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,Low,<= 40,1,1
167,(31 - 44],Private,Masters,Never-Married,White-Collar,Own-child,White,Male,Low,0,<= 40,0,0
168,> 44,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,High,0,<= 40,1,1
169,(31 - 44],Private,Bachelors,Widowed,White-Collar,Not-in-family,White,Female,0,0,> 40,0,0
170,(31 - 44],Private,High School grad,Separated,Sales,Unmarried,Black,Female,0,0,<= 40,0,0
171,> 44,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,> 40,0,0
172,<= 31,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,> 40,0,0
173,<= 31,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,0,0,> 40,0,0
174,(31 - 44],Private,Bachelors,Married,White-Collar,Husband,White,Male,0,High,<= 40,1,1
175,(31 - 44],Private,Bachelors,Separated,Professional,Not-in-family,White,Male,0,0,> 40,1,0
176,> 44,Private,High School grad,Separated,Admin,Not-in-family,Black,Female,0,0,<= 40,0,0
177,<= 31,Private,High School grad,Never-Married,Professional,Unmarried,Black,Female,0,0,> 40,0,0
178,<= 31,Private,High School grad,Separated,White-Collar,Unmarried,White,Female,0,0,<= 40,0,0
179,(31 - 44],Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,> 40,0,0
180,(31 - 44],Self-emp-inc,Prof-School,Married,Professional,Wife,White,Female,0,0,> 40,1,1
181,<= 31,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
182,<= 31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,1,0
183,> 44,Local-gov,High School grad,Married,Other,Husband,White,Male,0,0,<= 40,1,1
184,<= 31,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,0,0,> 40,0,1
185,> 44,Private,Bachelors,Separated,Blue-Collar,Not-in-family,White,Male,0,0,> 40,0,0
186,> 44,Local-gov,Bachelors,Separated,Professional,Unmarried,White,Female,0,0,<= 40,0,0
187,> 44,Private,Associates,Married,Professional,Husband,White,Male,0,0,<= 40,1,1
188,(31 - 44],Self-emp-inc,Bachelors,Married,Sales,Husband,White,Male,0,0,> 40,0,1
189,> 44,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,<= 40,0,0
190,> 44,Local-gov,High School grad,Married,White-Collar,Husband,White,Male,0,0,<= 40,0,0
191,(31 - 44],Private,Bachelors,Married,Professional,Wife,White,Female,0,0,> 40,1,1
192,<= 31,Private,High School grad,Married,Sales,Husband,White,Male,0,0,> 40,1,1
193,<= 31,Private,Dropout,Never-Married,Sales,Not-in-family,White,Male,0,0,<= 40,0,0
194,<= 31,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,> 40,0,0
195,(31 - 44],Federal-gov,Associates,Separated,Blue-Collar,Unmarried,White,Female,Low,0,<= 40,0,0
196,(31 - 44],Private,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
197,<= 31,Private,Bachelors,Never-Married,Other,Own-child,Black,Female,0,0,<= 40,0,0
198,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
199,(31 - 44],Federal-gov,High School grad,Never-Married,Service,Not-in-family,White,Male,0,0,<= 40,0,0
200,<= 31,Private,Dropout,Never-Married,Blue-Collar,Other-relative,White,Male,0,0,<= 40,0,0
201,<= 31,Private,Associates,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
202,<= 31,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,0,0,> 40,0,0
203,(31 - 44],Private,Bachelors,Married,Admin,Husband,Asian-Pac-Islander,Male,0,0,<= 40,0,0
204,<= 31,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,Asian-Pac-Islander,Female,0,0,<= 40,0,0
205,(31 - 44],Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<= 40,0,0
206,> 44,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,<= 40,1,0
207,> 44,Local-gov,Dropout,Married,Blue-Collar,Husband,White,Male,High,0,<= 40,1,1
208,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
209,> 44,Private,Bachelors,Married,Professional,Husband,White,Male,High,0,<= 40,1,1
210,> 44,Local-gov,High School grad,Married,White-Collar,Husband,White,Male,0,0,<= 40,0,1
211,<= 31,Private,Dropout,Never-Married,Service,Own-child,White,Male,0,0,<= 40,0,0
212,(31 - 44],Private,Prof-School,Married,Professional,Husband,White,Male,0,0,> 40,0,1
213,> 44,Private,Masters,Never-Married,White-Collar,Unmarried,Asian-Pac-Islander,Female,0,0,> 40,0,0
214,(31 - 44],Private,High School grad,Married,Other,Husband,White,Male,0,0,<= 40,1,0
215,> 44,Self-emp-not-inc,High School grad,Married,Service,Husband,White,Male,0,0,<= 40,0,0
216,(31 - 44],Private,Associates,Separated,Other,Unmarried,White,Female,0,0,> 40,0,0
217,> 44,Private,High School grad,Married,Other,Husband,White,Male,Low,0,<= 40,0,0
218,(31 - 44],Private,High School grad,Never-Married,Service,Unmarried,Black,Female,0,0,<= 40,0,0
219,<= 31,Private,High School grad,Never-Married,Sales,Not-in-family,White,Female,0,0,<= 40,0,0
220,<= 31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
221,<= 31,Local-gov,High School grad,Never-Married,Service,Own-child,White,Female,0,0,<= 40,0,0
222,> 44,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,High,> 40,0,0
223,<= 31,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,<= 40,0,0
224,> 44,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
225,<= 31,Federal-gov,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<= 40,0,0
226,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
227,<= 31,Private,High School grad,Married,Sales,Own-child,White,Female,0,0,<= 40,0,0
228,> 44,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,> 40,1,0
229,(31 - 44],State-gov,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
230,<= 31,Private,High School grad,Never-Married,Sales,Own-child,White,Male,0,0,<= 40,0,0
231,(31 - 44],Private,Associates,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,> 40,0,0
232,<= 31,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,<= 40,1,0
233,<= 31,Private,Bachelors,Never-Married,Other,Own-child,White,Male,0,0,> 40,0,0
234,<= 31,Private,High School grad,Never-Married,Blue-Collar,Other-relative,White,Male,0,0,<= 40,0,0
235,> 44,Federal-gov,High School grad,Separated,Other,Not-in-family,Black,Male,Low,0,<= 40,0,0
236,(31 - 44],Private,High School grad,Never-Married,Service,Not-in-family,Black,Female,0,0,<= 40,0,0
237,<= 31,State-gov,High School grad,Never-Married,Service,Not-in-family,White,Male,0,0,<= 40,0,0
238,> 44,Self-emp-not-inc,Prof-School,Never-Married,Professional,Not-in-family,White,Male,0,Low,<= 40,0,0
239,> 44,Private,High School grad,Married,White-Collar,Wife,White,Female,0,0,> 40,0,0
240,<= 31,Local-gov,Masters,Never-Married,Professional,Not-in-family,White,Male,0,0,<= 40,0,0
241,<= 31,Private,High School grad,Never-Married,Professional,Not-in-family,White,Female,0,0,<= 40,0,0
242,<= 31,Private,Bachelors,Never-Married,Admin,Own-child,White,Female,0,0,<= 40,0,0
243,<= 31,Private,Masters,Never-Married,White-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
244,<= 31,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,<= 40,1,0
245,<= 31,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
246,<= 31,Private,Dropout,Married,Sales,Wife,White,Female,0,0,<= 40,0,0
247,<= 31,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,> 40,0,0
248,> 44,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,1,0
249,> 44,Private,High School grad,Married,White-Collar,Wife,White,Female,0,0,<= 40,1,0
250,> 44,State-gov,Masters,Never-Married,White-Collar,Not-in-family,White,Male,0,0,<= 40,0,0
251,<= 31,Private,High School grad,Never-Married,Service,Own-child,Amer-Indian-Eskimo,Female,0,0,<= 40,0,0
252,(31 - 44],Private,High School grad,Separated,Service,Not-in-family,Black,Male,0,0,> 40,0,0
253,<= 31,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<= 40,0,0
254,> 44,Self-emp-inc,Bachelors,Married,Blue-Collar,Husband,White,Male,High,0,> 40,1,1
255,<= 31,Private,High School grad,Never-Married,Other,Not-in-family,Black,Male,0,0,> 40,0,0
256,(31 - 44],Federal-gov,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,1,0
257,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,1,0
258,<= 31,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,<= 40,0,0
259,<= 31,Private,High School grad,Separated,Other,Unmarried,White,Female,0,0,<= 40,0,0
260,(31 - 44],Private,Bachelors,Married,Sales,Husband,Black,Male,0,0,> 40,0,1
261,(31 - 44],Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,> 40,0,0
262,<= 31,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<= 40,0,0
263,> 44,Private,High School grad,Married,Other,Husband,White,Male,0,0,<= 40,1,1
264,> 44,Federal-gov,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,<= 40,0,0
265,<= 31,Private,High School grad,Never-Married,White-Collar,Not-in-family,Black,Male,0,0,<= 40,0,0
266,(31 - 44],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,> 40,1,1
267,> 44,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,0,0
268,<= 31,Private,High School grad,Married,Sales,Husband,White,Male,0,0,<= 40,0,0
269,(31 - 44],Private,Dropout,Separated,Admin,Unmarried,White,Female,0,0,<= 40,0,0
270,<= 31,Private,High School grad,Married,Service,Husband,White,Male,0,0,<= 40,0,0
271,<= 31,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,Low,<= 40,0,0
272,<= 31,Private,Dropout,Married,Service,Husband,White,Male,0,0,<= 40,1,0
273,<= 31,Private,High School grad,Never-Married,Sales,Own-child,White,Male,0,0,<= 40,0,0
274,(31 - 44],Self-emp-not-inc,Associates,Never-Married,Blue-Collar,Not-in-family,White,Male,High,0,> 40,1,1
275,<= 31,Private,High School grad,Married,Blue-Collar,Other-relative,White,Male,0,High,> 40,0,0
276,(31 - 44],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<= 40,1,0
277,<= 31,Private,Dropout,Never-Married,Blue-Collar,Other-relative,White,Male,0,Low,<= 40,0,0
278,(31 - 44],Local-gov,High School grad,Separated,Admin,Unmarried,White,Female,0,0,<= 40,0,0
