,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,sex,civil_status,class,predicted
12,'0<=X<200',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',1,none,1,car,<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
13,'<0',(12 - 24],'critical/other existing credit','new car',<= 1554,'<100','>=7',4,none,4,car,> 38,none,own,2,'unskilled resident',1,none,yes,male,single,0,1
14,'<0',(12 - 24],'existing paid','new car',<= 1554,'<100','1<=X<4',2,none,4,car,<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,0
15,'<0',(12 - 24],'existing paid',radio/tv,<= 1554,'100<=X<500','1<=X<4',4,none,2,car,(28 - 38],none,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,0,1
16,'no checking',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'no known savings','>=7',4,none,4,'life insurance',> 38,none,own,2,skilled,1,none,yes,male,single,1,1
17,'<0',> 24,'no credits/all paid',business,> 3368,'no known savings','<1',2,none,3,car,<= 28,bank,own,3,skilled,1,none,yes,male,single,1,0
18,'0<=X<200',(12 - 24],'existing paid','used car',> 3368,'<100','>=7',4,none,2,'no known property',> 38,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,0
19,'no checking',(12 - 24],'existing paid',radio/tv,> 3368,'500<=X<1000','>=7',3,none,2,car,(28 - 38],none,own,1,skilled,2,yes,yes,male,single,1,1
20,'no checking',<= 12,'critical/other existing credit','new car',(1554 - 3368],'<100','1<=X<4',4,none,4,car,> 38,none,own,3,skilled,1,yes,yes,male,single,1,1
21,'<0',<= 12,'existing paid',radio/tv,(1554 - 3368],'500<=X<1000','1<=X<4',2,none,3,'real estate',> 38,none,rent,1,skilled,2,none,yes,male,single,1,1
22,'<0',<= 12,'critical/other existing credit','new car',(1554 - 3368],'<100','<1',1,none,3,'real estate',> 38,none,rent,2,'unskilled resident',2,none,no,male,single,1,1
23,'0<=X<200',<= 12,'critical/other existing credit','used car',(1554 - 3368],'100<=X<500','<1',3,none,4,'life insurance',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
24,'no checking',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'no known savings','1<=X<4',2,none,1,car,<= 28,none,own,2,skilled,1,none,no,male,married/wid/sep,1,1
25,'<0',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',1,none,2,'real estate',(28 - 38],bank,own,1,'unskilled resident',1,yes,yes,male,single,1,1
26,'no checking',<= 12,'no credits/all paid',radio/tv,<= 1554,'<100','>=7',4,none,4,car,> 38,none,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
27,'>=200',<= 12,'all paid',radio/tv,<= 1554,'>=1000','1<=X<4',3,none,3,'real estate',> 38,none,rent,2,skilled,1,none,yes,female,married/wid/sep,1,1
28,'0<=X<200',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',3,guarantor,2,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
29,'<0',> 24,'delayed previously',business,> 3368,'<100','>=7',3,none,4,'no known property',> 38,none,own,2,skilled,1,yes,yes,male,single,0,0
30,'0<=X<200',(12 - 24],'existing paid',business,(1554 - 3368],'>=1000','<1',3,none,3,'real estate',(28 - 38],bank,own,1,skilled,1,yes,yes,male,married/wid/sep,1,1
31,'<0',(12 - 24],'existing paid',furniture/equipment,> 3368,'<100','1<=X<4',2,none,2,car,<= 28,stores,own,1,skilled,1,none,yes,male,single,1,1
32,'0<=X<200',(12 - 24],'existing paid','new car',> 3368,'100<=X<500','1<=X<4',2,none,2,car,(28 - 38],none,own,2,skilled,1,yes,yes,male,single,1,1
33,'no checking',<= 12,'critical/other existing credit',business,<= 1554,'no known savings','>=7',4,none,4,'no known property',> 38,none,rent,1,'unskilled resident',1,none,yes,male,single,1,1
34,'>=200',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','<1',4,none,1,'life insurance',(28 - 38],bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
35,'0<=X<200',> 24,'critical/other existing credit',radio/tv,> 3368,'<100','<1',4,none,2,'life insurance',<= 28,none,own,2,'unskilled resident',1,none,yes,male,single,0,0
36,'no checking',> 24,'critical/other existing credit',education,> 3368,'<100','1<=X<4',1,none,3,'no known property',(28 - 38],bank,'for free',1,skilled,1,yes,yes,male,single,1,1
37,'>=200',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',4,'co applicant',2,'real estate',(28 - 38],stores,own,1,skilled,1,none,yes,male,single,0,1
38,'>=200',<= 12,'existing paid','domestic appliance',<= 1554,'<100','1<=X<4',2,none,2,car,(28 - 38],none,own,1,skilled,1,yes,yes,male,single,1,1
39,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,none,3,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
40,'no checking',> 24,'existing paid',radio/tv,(1554 - 3368],'500<=X<1000','>=7',4,none,2,car,(28 - 38],bank,own,1,'high qualif/self emp/mgmt',1,none,yes,male,single,1,1
41,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'500<=X<1000','1<=X<4',3,none,1,car,<= 28,none,own,1,skilled,1,yes,yes,male,married/wid/sep,1,1
42,'0<=X<200',(12 - 24],'delayed previously',repairs,> 3368,'<100','1<=X<4',2,none,4,'real estate',> 38,none,own,1,'unskilled resident',2,yes,yes,male,single,1,1
43,'<0',> 24,'critical/other existing credit','used car',> 3368,'100<=X<500','4<=X<7',1,none,4,car,<= 28,none,rent,2,skilled,1,none,yes,male,married/wid/sep,1,0
44,'<0',> 24,'critical/other existing credit','used car',> 3368,'<100','>=7',4,none,4,'no known property',> 38,stores,'for free',2,'unskilled resident',1,none,yes,female,married/wid/sep,0,0
45,'no checking',<= 12,'critical/other existing credit','new car',<= 1554,'<100','<1',4,none,4,car,(28 - 38],none,own,2,'high qualif/self emp/mgmt',1,none,yes,female,married/wid/sep,1,1
46,'no checking',> 24,'existing paid',radio/tv,(1554 - 3368],'500<=X<1000','>=7',4,none,4,car,> 38,none,own,1,skilled,1,none,yes,male,single,1,1
47,'<0',<= 12,'existing paid','used car',<= 1554,'500<=X<1000',unemployed,1,none,2,'life insurance',<= 28,none,rent,1,'unemp/unskilled non res',1,yes,yes,female,married/wid/sep,1,1
48,'no checking',<= 12,'critical/other existing credit','new car',> 3368,'<100','1<=X<4',1,none,4,'life insurance',> 38,none,own,2,'unskilled resident',1,none,yes,male,single,1,1
49,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'100<=X<500','1<=X<4',4,'co applicant',2,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
50,'0<=X<200',(12 - 24],'delayed previously',furniture/equipment,(1554 - 3368],'no known savings','<1',4,none,2,'life insurance',(28 - 38],bank,own,1,'unskilled resident',1,none,yes,male,single,1,1
51,'0<=X<200',> 24,'delayed previously','used car',> 3368,'<100','>=7',1,none,2,car,(28 - 38],none,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
52,'no checking',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',3,none,2,car,<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
53,'no checking',(12 - 24],'existing paid','used car',> 3368,'no known savings','1<=X<4',2,none,1,'life insurance',(28 - 38],none,own,1,skilled,1,yes,yes,male,single,1,1
54,'0<=X<200',> 24,'delayed previously','new car',(1554 - 3368],'<100','>=7',4,none,4,'no known property',> 38,bank,'for free',2,skilled,1,yes,yes,male,single,0,0
55,'no checking',<= 12,'all paid','new car',<= 1554,'no known savings','1<=X<4',1,guarantor,2,'real estate',<= 28,stores,own,1,'unskilled resident',2,none,yes,male,single,1,1
56,'0<=X<200',<= 12,'existing paid',radio/tv,> 3368,'no known savings',unemployed,2,none,1,'no known property',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
57,'no checking',> 24,'critical/other existing credit',radio/tv,> 3368,'<100','1<=X<4',2,none,2,car,(28 - 38],stores,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
58,'>=200',(12 - 24],'existing paid','new car',(1554 - 3368],'<100','>=7',3,none,2,car,<= 28,none,own,1,'high qualif/self emp/mgmt',1,none,yes,female,married/wid/sep,1,1
59,'<0',> 24,'critical/other existing credit',furniture/equipment,> 3368,'<100','<1',4,'co applicant',4,'no known property',<= 28,none,rent,2,'unskilled resident',1,yes,yes,female,married/wid/sep,0,0
60,'0<=X<200',<= 12,'existing paid',business,<= 1554,'<100','1<=X<4',2,none,1,'real estate',<= 28,bank,own,1,skilled,1,yes,yes,male,married/wid/sep,1,1
61,'0<=X<200',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'no known savings','>=7',4,guarantor,4,'real estate',> 38,none,own,2,skilled,1,yes,yes,male,single,1,1
62,'0<=X<200',> 24,'no credits/all paid',business,(1554 - 3368],'<100','>=7',4,none,4,'no known property',> 38,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,0
63,'0<=X<200',> 24,'no credits/all paid',business,> 3368,'<100','1<=X<4',2,none,2,car,<= 28,none,own,1,skilled,1,yes,yes,male,single,0,0
64,'no checking',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','<1',4,none,4,'life insurance',<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
65,'no checking',> 24,'existing paid',repairs,> 3368,'no known savings','>=7',4,none,4,'life insurance',> 38,none,own,4,skilled,2,yes,yes,male,single,1,1
66,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','<1',2,none,2,car,(28 - 38],bank,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
67,'0<=X<200',<= 12,'existing paid','new car',<= 1554,'>=1000','1<=X<4',4,none,1,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,married/wid/sep,1,1
68,'no checking',> 24,'existing paid',education,(1554 - 3368],'<100','1<=X<4',4,none,4,'no known property',(28 - 38],stores,'for free',1,skilled,1,yes,yes,male,single,0,1
69,'no checking',> 24,'existing paid',radio/tv,(1554 - 3368],'no known savings','1<=X<4',4,none,4,car,<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
70,'no checking',> 24,'existing paid','used car',> 3368,'<100','1<=X<4',1,none,2,'life insurance',(28 - 38],bank,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
71,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'no known savings','>=7',4,none,2,'life insurance',> 38,none,rent,2,'unskilled resident',1,yes,yes,male,single,1,1
72,'<0',<= 12,'critical/other existing credit',other,<= 1554,'<100','>=7',3,none,4,'no known property',> 38,bank,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,male,single,1,1
73,'0<=X<200',> 24,'critical/other existing credit',business,> 3368,'<100','4<=X<7',2,none,1,'real estate',> 38,bank,own,2,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
74,'<0',> 24,'existing paid',education,(1554 - 3368],'no known savings','>=7',4,none,4,'no known property',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
75,'<0',<= 12,'critical/other existing credit','used car',<= 1554,'<100','>=7',4,none,4,'no known property',> 38,none,'for free',2,'high qualif/self emp/mgmt',1,none,yes,male,single,1,1
76,'<0',> 24,'existing paid',radio/tv,> 3368,'<100','<1',4,none,3,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,0,0
77,'0<=X<200',<= 12,'delayed previously',radio/tv,> 3368,'<100','4<=X<7',2,none,4,'life insurance',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
78,'no checking',> 24,'no credits/all paid','used car',> 3368,'no known savings','1<=X<4',2,none,2,'life insurance',> 38,none,own,1,'unskilled resident',2,none,yes,male,single,1,1
79,'0<=X<200',> 24,'existing paid',furniture/equipment,> 3368,'<100','<1',2,none,1,'life insurance',<= 28,none,own,1,skilled,1,none,yes,male,married/wid/sep,1,0
80,'no checking',(12 - 24],'existing paid',radio/tv,> 3368,'no known savings','<1',1,none,1,car,> 38,none,own,2,skilled,1,yes,yes,female,married/wid/sep,0,1
81,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'500<=X<1000','>=7',4,none,3,'life insurance',> 38,stores,own,1,skilled,1,yes,yes,male,single,1,1
82,'no checking',(12 - 24],'existing paid',business,(1554 - 3368],'100<=X<500','1<=X<4',3,none,4,'life insurance',<= 28,none,rent,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
83,'<0',(12 - 24],'existing paid',other,(1554 - 3368],'<100','>=7',4,guarantor,4,'real estate',> 38,none,own,1,'unskilled resident',1,yes,yes,female,married/wid/sep,1,1
84,'<0',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','>=7',3,none,4,'real estate',> 38,none,own,1,'unskilled resident',1,none,yes,male,single,1,1
85,'no checking',<= 12,'critical/other existing credit',business,<= 1554,'<100','1<=X<4',4,guarantor,2,'real estate',(28 - 38],none,own,2,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
86,'0<=X<200',(12 - 24],'critical/other existing credit',furniture/equipment,<= 1554,'<100','<1',4,none,1,'life insurance',<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
87,'0<=X<200',> 24,'existing paid',education,> 3368,'100<=X<500','1<=X<4',1,none,4,'no known property',> 38,none,'for free',1,skilled,2,yes,yes,male,single,0,0
88,'<0',(12 - 24],'existing paid','new car',(1554 - 3368],'100<=X<500','4<=X<7',4,none,3,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',2,yes,yes,male,single,1,1
89,'<0',<= 12,'no credits/all paid',repairs,<= 1554,'<100','4<=X<7',4,none,3,'real estate',<= 28,none,own,2,skilled,1,none,yes,male,single,0,1
90,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'<100','>=7',4,none,4,'real estate',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
91,'<0',<= 12,'critical/other existing credit','used car',<= 1554,'<100','>=7',4,none,3,'real estate',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
92,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'no known savings','>=7',4,none,3,'life insurance',(28 - 38],bank,own,1,'unskilled resident',2,none,yes,female,married/wid/sep,0,1
93,'>=200',(12 - 24],'critical/other existing credit',furniture/equipment,> 3368,'no known savings','>=7',4,'co applicant',4,'no known property',<= 28,none,rent,2,skilled,1,none,yes,male,single,1,1
94,'0<=X<200',<= 12,'existing paid','new car',<= 1554,'>=1000','>=7',4,none,4,'real estate',> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
95,'0<=X<200',> 24,'no credits/all paid',business,> 3368,'<100','<1',3,none,4,'no known property',> 38,none,rent,1,skilled,1,yes,yes,male,single,0,0
96,'no checking',<= 12,'critical/other existing credit',education,(1554 - 3368],'no known savings','4<=X<7',4,none,2,car,> 38,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
97,'0<=X<200',(12 - 24],'existing paid',business,(1554 - 3368],'100<=X<500','1<=X<4',4,none,4,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
98,'0<=X<200',> 24,'critical/other existing credit',radio/tv,(1554 - 3368],'<100','>=7',4,none,4,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
99,'0<=X<200',(12 - 24],'delayed previously','used car',> 3368,'no known savings','4<=X<7',3,none,4,'life insurance',(28 - 38],bank,rent,2,'high qualif/self emp/mgmt',2,yes,yes,male,single,1,1
100,'no checking',(12 - 24],'existing paid','new car',<= 1554,'100<=X<500','>=7',4,none,4,'real estate',> 38,none,rent,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
101,'0<=X<200',> 24,'existing paid',radio/tv,(1554 - 3368],'<100','4<=X<7',4,none,4,car,<= 28,none,rent,1,skilled,1,none,yes,male,single,1,0
102,'no checking',<= 12,'delayed previously',radio/tv,<= 1554,'<100','1<=X<4',3,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
103,'0<=X<200',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','4<=X<7',4,none,3,car,(28 - 38],none,rent,1,skilled,1,yes,yes,male,single,1,1
104,'no checking',<= 12,'existing paid','used car',(1554 - 3368],'no known savings','<1',2,none,4,car,<= 28,none,rent,1,skilled,1,yes,yes,male,married/wid/sep,1,1
105,'0<=X<200',(12 - 24],'critical/other existing credit',other,> 3368,'<100','1<=X<4',2,'co applicant',3,car,> 38,none,own,2,'high qualif/self emp/mgmt',2,yes,yes,male,single,0,1
106,'no checking',(12 - 24],'all paid','new car',> 3368,'<100','>=7',2,none,4,'no known property',> 38,bank,own,2,'high qualif/self emp/mgmt',2,yes,yes,male,single,0,1
107,'0<=X<200',<= 12,'existing paid','new car',> 3368,'<100','4<=X<7',2,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
108,'<0',(12 - 24],'existing paid',furniture/equipment,> 3368,'no known savings','<1',1,none,2,'life insurance',(28 - 38],none,own,1,skilled,1,yes,no,female,married/wid/sep,1,1
109,'0<=X<200',(12 - 24],'existing paid',business,<= 1554,'500<=X<1000','>=7',1,none,2,'real estate',(28 - 38],none,own,1,skilled,1,yes,yes,male,married/wid/sep,1,1
110,'0<=X<200',<= 12,'delayed previously',business,<= 1554,'100<=X<500','>=7',1,none,2,car,(28 - 38],bank,own,2,skilled,2,none,yes,male,married/wid/sep,1,1
111,'>=200',(12 - 24],'existing paid',education,<= 1554,'<100','<1',4,none,4,'life insurance',<= 28,none,rent,1,skilled,1,yes,yes,female,married/wid/sep,1,1
112,'0<=X<200',(12 - 24],'existing paid','new car',> 3368,'<100','4<=X<7',3,none,3,'real estate',<= 28,none,rent,1,'unskilled resident',1,none,yes,male,single,1,1
113,'no checking',> 24,'critical/other existing credit','new car',> 3368,'<100','1<=X<4',4,none,2,'real estate',<= 28,stores,own,2,skilled,1,yes,yes,female,married/wid/sep,0,1
114,'<0',<= 12,'existing paid',radio/tv,(1554 - 3368],'500<=X<1000','>=7',3,none,1,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,married/wid/sep,1,1
115,'no checking',> 24,'critical/other existing credit',radio/tv,> 3368,'no known savings','>=7',4,none,1,'real estate',> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
116,'<0',> 24,'existing paid',radio/tv,> 3368,'no known savings','4<=X<7',4,none,3,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,1
117,'<0',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'no known savings','<1',2,'co applicant',3,'real estate',<= 28,none,rent,2,skilled,1,none,no,female,married/wid/sep,1,1
118,'<0',> 24,'critical/other existing credit',furniture/equipment,> 3368,'500<=X<1000','1<=X<4',1,none,4,car,<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,0,1
119,'0<=X<200',<= 12,'critical/other existing credit','new car',(1554 - 3368],'500<=X<1000','4<=X<7',3,none,3,car,(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,married/wid/sep,1,1
120,'<0',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',3,none,2,'real estate',<= 28,none,own,2,skilled,1,yes,yes,female,married/wid/sep,0,0
121,'no checking',(12 - 24],'critical/other existing credit','used car',> 3368,'<100','>=7',4,none,2,car,> 38,none,rent,2,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,1
122,'no checking',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',3,none,2,'real estate',<= 28,none,rent,1,'unskilled resident',1,none,yes,male,single,1,1
123,'>=200',<= 12,'critical/other existing credit','new car',<= 1554,'<100','>=7',4,none,4,'no known property',> 38,none,'for free',2,skilled,1,yes,yes,male,single,1,1
124,'0<=X<200',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'no known savings','<1',4,none,3,'real estate',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,1
125,'<0',<= 12,'critical/other existing credit','new car',(1554 - 3368],'<100','1<=X<4',4,none,2,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
126,'<0',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,'real estate',> 38,none,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
127,'0<=X<200',<= 12,'existing paid',repairs,<= 1554,'<100','1<=X<4',4,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,0,1
128,'0<=X<200',<= 12,'critical/other existing credit','used car',(1554 - 3368],'<100',unemployed,4,none,2,car,(28 - 38],none,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
129,'<0',<= 12,'critical/other existing credit','new car',> 3368,'<100','1<=X<4',3,'co applicant',2,'real estate',(28 - 38],none,own,2,skilled,1,none,yes,female,married/wid/sep,0,1
130,'0<=X<200',> 24,'existing paid','new car',> 3368,'no known savings','4<=X<7',1,none,2,car,<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
131,'<0',> 24,'delayed previously',education,> 3368,'<100','1<=X<4',4,none,3,'life insurance',(28 - 38],stores,own,1,skilled,1,yes,yes,male,single,0,0
132,'no checking',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','<1',2,none,3,'life insurance',<= 28,bank,own,2,'unskilled resident',1,none,yes,male,single,1,1
133,'no checking',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',4,none,4,'no known property',> 38,bank,'for free',2,skilled,1,none,yes,male,single,1,1
134,'no checking',> 24,'existing paid',radio/tv,> 3368,'100<=X<500','4<=X<7',2,none,4,'real estate',<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
135,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'no known savings','>=7',4,none,2,'real estate',(28 - 38],none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
136,'no checking',> 24,'delayed previously','used car',> 3368,'>=1000','1<=X<4',2,none,2,car,<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
137,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'500<=X<1000','1<=X<4',4,none,3,'real estate',> 38,none,own,1,'unskilled resident',1,none,yes,male,single,0,1
138,'0<=X<200',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'no known savings','4<=X<7',4,guarantor,2,'real estate',(28 - 38],bank,own,3,skilled,1,yes,yes,male,single,1,1
139,'>=200',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',2,none,2,car,> 38,none,rent,1,'unskilled resident',1,yes,yes,female,married/wid/sep,1,1
140,'>=200',<= 12,'existing paid','new car',<= 1554,'>=1000','<1',2,none,2,'real estate',<= 28,none,own,1,'unemp/unskilled non res',1,none,no,male,married/wid/sep,1,1
141,'0<=X<200',> 24,'existing paid',radio/tv,> 3368,'<100','<1',4,none,1,'no known property',(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,1,0
142,'<0',> 24,'existing paid',radio/tv,> 3368,'<100','1<=X<4',3,none,2,car,<= 28,none,own,1,'high qualif/self emp/mgmt',1,none,yes,male,single,1,1
143,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',2,none,2,car,<= 28,none,own,1,skilled,1,none,yes,male,single,0,1
144,'no checking',(12 - 24],'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','<1',4,none,4,'life insurance',<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
145,'0<=X<200',> 24,'all paid',business,> 3368,'100<=X<500','4<=X<7',4,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,0
146,'<0',<= 12,'critical/other existing credit','new car',<= 1554,'<100','>=7',1,none,4,'no known property',> 38,none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
147,'no checking',<= 12,'critical/other existing credit','new car',<= 1554,'100<=X<500','4<=X<7',4,none,3,car,> 38,none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
148,'<0',> 24,'critical/other existing credit',furniture/equipment,> 3368,'<100','1<=X<4',3,guarantor,2,'life insurance',<= 28,none,own,2,skilled,1,none,yes,male,single,1,0
149,'no checking',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'>=1000','>=7',4,none,4,car,> 38,none,own,2,skilled,1,none,yes,male,single,1,1
150,'no checking',<= 12,'existing paid',radio/tv,<= 1554,'100<=X<500','>=7',2,none,4,'no known property',> 38,bank,'for free',1,skilled,2,yes,yes,male,single,1,1
151,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',1,none,4,'life insurance',(28 - 38],none,own,1,skilled,1,yes,no,male,single,1,1
152,'>=200',> 24,'existing paid',radio/tv,> 3368,'<100','1<=X<4',4,none,1,car,<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
153,'0<=X<200',(12 - 24],'critical/other existing credit','used car',> 3368,'>=1000','>=7',2,none,4,'no known property',(28 - 38],none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,1
