race,sex,LSAT,UGPA,ZFYA,rank
White,Female,33.0,3.1,2.15,264
White,Female,41.0,3.5,2.15,265
White,Male,45.0,3.1,2.15,266
White,Male,40.0,3.3,2.15,267
White,Male,41.0,3.5,2.15,268
White,Male,32.0,3.6,2.15,269
White,Female,40.0,3.2,2.15,270
White,Male,37.0,3.3,2.15,271
White,Male,36.0,2.9,2.15,272
Asian,Male,41.0,3.3,2.14,273
White,Male,39.0,3.4,2.14,274
White,Male,37.0,3.1,2.14,275
White,Female,33.0,3.6,2.13,276
White,Female,42.0,2.4,2.13,277
White,Female,40.0,2.9,2.13,278
White,Male,33.0,3.3,2.13,279
White,Male,36.5,2.5,2.13,280
White,Male,42.0,3.1,2.13,281
White,Male,44.0,3.7,2.12,282
White,Female,44.0,3.7,2.12,283
White,Male,36.0,3.8,2.12,284
White,Female,48.0,3.4,2.12,285
White,Male,30.0,3.1,2.12,286
White,Female,36.0,4.0,2.12,287
White,Female,40.0,3.0,2.12,288
White,Female,34.0,3.4,2.11,289
White,Female,36.0,3.7,2.11,290
Asian,Male,32.5,3.4,2.11,291
White,Female,43.0,3.4,2.11,292
White,Female,35.5,3.3,2.11,293
White,Female,43.0,3.9,2.11,294
White,Female,43.0,3.4,2.11,295
White,Female,43.0,3.6,2.11,296
White,Female,48.0,3.9,2.11,297
White,Male,43.0,3.6,2.11,298
White,Male,43.0,3.7,2.11,299
White,Male,44.0,2.1,2.11,300
Hispanic,Male,29.0,2.7,2.11,301
White,Female,46.0,3.5,2.11,302
White,Male,41.0,3.9,2.1,303
White,Female,27.5,3.6,2.1,304
White,Female,31.5,3.5,2.1,305
White,Male,42.0,3.8,2.1,306
White,Female,36.0,3.6,2.1,307
White,Female,41.0,3.7,2.1,308
White,Male,38.0,2.5,2.1,309
White,Female,29.0,3.9,2.1,310
White,Male,37.0,3.0,2.1,311
White,Male,37.0,2.7,2.09,312
White,Male,43.0,3.3,2.09,313
White,Male,35.0,2.8,2.09,314
White,Female,45.0,3.5,2.09,315
White,Male,40.5,3.2,2.09,316
White,Female,30.3,3.4,2.09,317
White,Female,36.0,3.5,2.09,318
White,Female,45.0,3.4,2.09,319
White,Female,25.5,2.8,2.09,320
White,Male,47.0,3.8,2.08,321
White,Female,35.0,3.2,2.08,322
White,Male,42.0,4.0,2.08,323
White,Male,39.0,4.0,2.08,324
White,Female,45.0,3.9,2.08,325
White,Female,47.0,3.8,2.08,326
White,Male,35.0,3.4,2.08,327
White,Male,48.0,3.5,2.08,328
White,Female,39.0,3.7,2.08,329
White,Female,41.0,4.0,2.08,330
White,Female,42.0,3.8,2.08,331
White,Female,35.0,3.9,2.08,332
White,Female,41.0,3.3,2.08,333
White,Male,42.0,3.1,2.08,334
White,Female,43.0,3.1,2.08,335
White,Male,45.0,4.0,2.08,336
White,Male,48.0,3.4,2.08,337
White,Female,39.0,3.6,2.07,338
White,Male,32.0,3.6,2.07,339
White,Male,39.0,3.5,2.07,340
White,Male,40.0,3.7,2.07,341
White,Female,42.0,3.5,2.07,342
White,Male,41.0,2.9,2.07,343
White,Male,39.0,3.8,2.07,344
White,Female,39.0,4.0,2.07,345
White,Male,47.0,3.2,2.07,346
White,Male,41.0,2.9,2.07,347
White,Female,37.5,3.7,2.06,348
White,Male,39.0,3.5,2.06,349
White,Male,45.0,2.6,2.06,350
White,Female,36.0,3.3,2.06,351
White,Female,45.0,2.9,2.06,352
White,Female,35.0,3.2,2.06,353
White,Male,40.0,3.3,2.06,354
White,Female,41.0,3.0,2.06,355
White,Female,35.0,3.8,2.06,356
White,Male,39.0,2.9,2.06,357
White,Male,48.0,3.2,2.06,358
White,Female,33.0,3.7,2.06,359
White,Male,41.0,3.5,2.06,360
White,Female,35.0,2.9,2.05,361
White,Male,45.0,3.6,2.05,362
White,Female,44.0,3.7,2.05,363
White,Female,43.0,3.6,2.05,364
White,Male,41.0,3.6,2.05,365
White,Female,34.0,3.4,2.05,366
White,Female,34.0,3.2,2.05,367
White,Male,46.0,3.5,2.05,368
White,Female,37.0,3.6,2.05,369
White,Male,42.0,3.4,2.05,370
White,Male,42.0,3.8,2.05,371
Asian,Male,45.0,3.2,2.05,372
Asian,Male,32.5,2.6,2.05,373
White,Female,31.0,2.8,2.05,374
Black,Male,35.0,3.4,2.05,375
White,Female,38.0,3.4,2.04,376
White,Female,39.0,3.1,2.04,377
White,Male,42.0,3.4,2.04,378
White,Male,39.0,3.7,2.04,379
White,Male,37.0,3.3,2.04,380
White,Male,39.0,3.3,2.04,381
White,Male,38.0,3.1,2.04,382
White,Female,44.0,3.3,2.04,383
White,Male,40.0,3.6,2.04,384
White,Male,42.0,4.0,2.04,385
White,Female,37.0,3.3,2.04,386
White,Female,33.0,3.4,2.03,387
White,Male,39.0,2.9,2.03,388
White,Male,36.0,3.5,2.03,389
White,Male,43.0,3.4,2.03,390
White,Male,46.0,3.1,2.03,391
White,Female,40.0,3.4,2.03,392
White,Female,43.0,3.6,2.03,393
White,Female,36.0,3.5,2.02,394
White,Female,32.0,3.1,2.02,395
White,Male,48.0,3.7,2.02,396
White,Female,41.0,2.9,2.02,397
White,Male,46.0,3.9,2.02,398
White,Female,35.0,2.8,2.02,399
White,Male,38.0,3.6,2.02,400
White,Female,39.0,3.3,2.02,401
White,Female,40.0,3.6,2.02,402
White,Male,42.0,4.0,2.02,403
White,Male,38.0,3.7,2.02,404
White,Male,33.0,3.6,2.02,405
White,Male,41.0,4.0,2.02,406
White,Male,42.0,3.6,2.02,407
White,Female,48.0,3.9,2.02,408
Asian,Male,44.0,3.6,2.01,409
White,Male,30.0,3.2,2.01,410
White,Female,36.0,2.7,2.01,411
White,Female,39.0,4.0,2.01,412
White,Male,37.0,3.6,2.01,413
White,Male,39.0,2.9,2.01,414
White,Female,30.0,3.2,2.01,415
White,Male,36.0,3.1,2.01,416
White,Male,44.0,3.6,2.01,417
White,Male,48.0,3.0,2.0,418
White,Female,43.0,3.5,2.0,419
White,Male,35.0,3.8,2.0,420
White,Female,44.0,3.6,2.0,421
White,Male,40.0,2.8,2.0,422
White,Female,36.0,3.2,2.0,423
White,Male,37.0,3.7,2.0,424
White,Female,43.0,4.0,2.0,425
White,Female,38.0,3.9,2.0,426
White,Male,37.0,3.1,2.0,427
White,Male,39.0,2.7,2.0,428
White,Female,36.0,3.9,1.99,429
White,Male,35.0,3.7,1.99,430
White,Male,32.5,2.8,1.99,431
White,Male,30.0,3.1,1.99,432
White,Male,34.0,3.8,1.99,433
White,Female,48.0,3.1,1.99,434
White,Male,48.0,3.5,1.99,435
White,Male,36.0,3.9,1.99,436
White,Female,40.0,3.2,1.99,437
White,Male,41.0,3.2,1.99,438
White,Male,34.0,3.9,1.99,439
White,Male,45.0,3.4,1.99,440
White,Male,42.0,3.3,1.98,441
White,Male,47.0,3.8,1.98,442
White,Male,38.0,3.8,1.98,443
White,Female,32.0,3.1,1.98,444
White,Male,46.0,3.1,1.98,445
White,Female,45.0,3.8,1.98,446
White,Male,46.0,3.9,1.98,447
White,Female,48.0,3.5,1.98,448
White,Male,36.0,2.9,1.98,449
White,Female,33.0,3.1,1.98,450
White,Male,37.0,3.1,1.97,451
White,Male,34.0,3.2,1.97,452
White,Female,38.0,3.4,1.97,453
White,Male,35.0,3.4,1.97,454
White,Male,40.0,3.0,1.97,455
White,Female,40.0,3.2,1.97,456
White,Male,44.0,3.1,1.97,457
White,Male,35.0,3.2,1.97,458
White,Female,38.0,3.3,1.97,459
White,Female,39.0,3.5,1.97,460
White,Male,39.0,3.0,1.97,461
White,Male,43.0,3.1,1.97,462
White,Male,29.5,3.2,1.97,463
White,Female,39.5,4.0,1.96,464
White,Male,37.0,3.5,1.96,465
White,Male,46.0,3.4,1.96,466
White,Female,34.5,3.4,1.96,467
White,Female,36.0,3.0,1.96,468
White,Female,40.0,4.0,1.96,469
White,Female,44.0,2.6,1.96,470
White,Male,44.0,2.9,1.96,471
White,Female,40.0,3.3,1.96,472
White,Female,43.0,3.4,1.96,473
White,Male,40.0,3.5,1.96,474
Asian,Female,45.0,3.7,1.96,475
White,Male,44.0,3.0,1.96,476
White,Female,40.0,3.8,1.96,477
White,Female,39.0,3.5,1.96,478
White,Male,40.0,3.3,1.96,479
White,Male,40.0,2.9,1.96,480
White,Female,42.0,3.5,1.95,481
White,Male,40.5,3.3,1.95,482
Black,Female,31.0,2.6,1.95,483
White,Male,36.0,3.6,1.95,484
White,Female,42.0,4.0,1.95,485
White,Female,39.0,3.7,1.95,486
White,Male,42.0,3.9,1.95,487
White,Female,45.0,4.0,1.95,488
White,Male,37.0,3.5,1.95,489
White,Male,48.0,3.9,1.94,490
White,Female,37.0,3.7,1.94,491
White,Female,48.0,3.5,1.94,492
White,Female,39.0,3.4,1.94,493
White,Female,48.0,2.8,1.94,494
White,Male,48.0,4.0,1.94,495
Black,Female,32.5,2.6,1.94,496
White,Male,42.0,3.6,1.94,497
White,Female,40.0,3.1,1.94,498
White,Male,47.0,3.7,1.94,499
White,Male,41.0,3.9,1.94,500
White,Male,35.0,2.9,1.94,501
White,Male,47.0,3.9,1.94,502
White,Male,42.0,3.4,1.94,503
White,Female,48.0,3.7,1.94,504
White,Male,46.0,2.7,1.94,505
White,Female,40.0,3.8,1.94,506
White,Male,35.0,3.2,1.93,507
White,Male,37.0,2.6,1.93,508
White,Male,33.0,3.0,1.93,509
White,Male,35.0,3.7,1.93,510
White,Male,37.0,3.2,1.93,511
White,Male,41.0,3.4,1.93,512
White,Female,43.0,4.0,1.93,513
White,Male,36.0,2.4,1.93,514
White,Female,41.0,3.4,1.93,515
White,Male,38.0,3.9,1.93,516
White,Male,46.0,4.0,1.93,517
White,Female,38.0,3.7,1.93,518
Mexican,Male,38.0,2.2,1.93,519
White,Male,43.0,3.4,1.93,520
White,Male,46.0,3.4,1.93,521
White,Female,37.0,3.9,1.93,522
White,Male,48.0,3.9,1.92,523
White,Female,38.0,3.2,1.92,524
White,Male,39.0,3.8,1.92,525
White,Male,43.0,3.6,1.92,526
White,Female,36.0,3.9,1.92,527
White,Male,43.0,2.7,1.92,528
White,Male,47.0,3.4,1.92,529
White,Male,42.0,3.7,1.92,530
White,Male,47.0,3.2,1.92,531
White,Male,33.0,2.9,1.92,532
White,Female,46.0,3.7,1.92,533
White,Male,40.0,3.2,1.92,534
White,Male,34.0,3.6,1.92,535
White,Male,37.0,3.0,1.92,536
White,Male,45.0,2.4,1.92,537
White,Male,34.0,2.8,1.92,538
White,Female,46.0,3.1,1.92,539
White,Male,42.0,3.5,1.91,540
White,Male,48.0,4.0,1.91,541
White,Female,38.0,3.3,1.91,542
White,Male,40.0,2.2,1.91,543
White,Male,36.0,3.8,1.91,544
White,Male,41.0,3.6,1.91,545
White,Female,32.0,3.5,1.91,546
White,Male,43.0,3.6,1.91,547
White,Female,44.0,3.1,1.91,548
Black,Male,22.0,2.6,1.91,549
White,Female,42.0,3.1,1.91,550
White,Male,34.0,2.5,1.91,551
White,Female,37.0,3.9,1.91,552
White,Male,37.0,3.2,1.91,553
White,Male,41.0,3.2,1.91,554
White,Male,46.0,2.8,1.91,555
White,Male,47.0,2.4,1.91,556
White,Female,35.0,3.8,1.9,557
White,Female,36.0,3.7,1.9,558
White,Female,37.5,2.8,1.9,559
White,Male,41.0,3.4,1.9,560
White,Female,47.0,3.9,1.9,561
White,Male,45.0,3.3,1.9,562
White,Female,40.0,3.4,1.9,563
White,Male,38.0,2.9,1.9,564
White,Male,44.0,3.8,1.9,565
White,Female,41.0,3.5,1.9,566
White,Male,42.0,3.3,1.9,567
White,Male,45.0,3.6,1.9,568
White,Male,42.0,3.7,1.9,569
White,Female,40.0,3.5,1.9,570
White,Female,35.0,4.0,1.9,571
White,Female,36.0,3.9,1.9,572
White,Female,40.0,3.6,1.9,573
White,Female,39.0,3.6,1.9,574
White,Male,42.0,3.4,1.9,575
White,Female,35.0,2.8,1.9,576
White,Male,38.0,3.4,1.9,577
White,Female,47.0,3.0,1.89,578
Other,Male,48.0,3.9,1.89,579
White,Male,34.5,3.5,1.89,580
White,Male,37.0,2.7,1.89,581
White,Female,47.0,3.9,1.89,582
White,Female,37.0,3.3,1.89,583
White,Male,43.0,4.0,1.89,584
White,Male,35.0,3.4,1.89,585
White,Female,40.0,3.2,1.89,586
White,Male,48.0,3.5,1.89,587
White,Male,31.0,2.7,1.89,588
White,Male,37.0,3.5,1.89,589
White,Male,36.0,3.1,1.89,590
White,Male,43.0,2.9,1.89,591
White,Male,48.0,3.7,1.89,592
White,Female,42.0,3.5,1.89,593
White,Female,32.0,2.6,1.88,594
White,Male,40.0,3.4,1.88,595
White,Female,38.0,3.4,1.88,596
White,Male,35.5,2.6,1.88,597
White,Female,37.0,4.0,1.88,598
White,Male,37.0,3.0,1.88,599
White,Female,47.0,3.5,1.88,600
White,Male,39.0,2.5,1.88,601
White,Female,41.0,3.7,1.88,602
White,Female,36.0,4.0,1.88,603
White,Male,44.0,3.6,1.88,604
White,Male,35.5,3.0,1.88,605
White,Male,42.0,3.4,1.88,606
White,Male,37.0,3.5,1.88,607
White,Male,45.0,3.4,1.88,608
White,Female,35.0,3.3,1.88,609
White,Male,42.0,2.2,1.88,610
White,Female,41.0,3.5,1.88,611
White,Female,42.0,2.8,1.88,612
White,Female,42.0,4.0,1.88,613
White,Female,33.0,2.7,1.88,614
White,Female,39.0,3.6,1.88,615
White,Male,41.0,3.3,1.88,616
White,Male,37.0,2.7,1.88,617
White,Male,34.5,3.1,1.88,618
White,Male,34.0,3.5,1.88,619
White,Male,44.0,1.5,1.88,620
White,Male,47.0,3.5,1.87,621
White,Female,39.0,3.2,1.87,622
White,Female,31.0,3.1,1.87,623
White,Male,35.5,3.2,1.87,624
White,Female,45.0,3.4,1.87,625
White,Male,37.0,3.2,1.87,626
White,Male,37.0,3.5,1.86,627
White,Female,42.0,3.3,1.86,628
White,Female,40.0,3.4,1.86,629
White,Female,41.0,3.7,1.86,630
White,Male,44.0,2.9,1.86,631
White,Male,38.0,3.7,1.86,632
White,Female,44.0,3.8,1.86,633
White,Female,46.0,3.7,1.86,634
White,Female,46.0,3.6,1.86,635
White,Female,38.0,3.7,1.86,636
White,Female,40.0,3.1,1.86,637
White,Female,41.0,3.7,1.86,638
White,Female,30.0,3.1,1.86,639
White,Male,40.0,3.8,1.85,640
White,Male,35.0,2.6,1.85,641
White,Male,43.0,3.4,1.85,642
White,Female,45.0,3.9,1.85,643
White,Male,34.0,3.2,1.85,644
White,Male,36.0,3.8,1.85,645
White,Female,43.0,4.0,1.85,646
White,Male,40.0,3.4,1.85,647
White,Male,40.0,3.1,1.85,648
White,Female,42.0,3.5,1.85,649
White,Male,37.0,3.8,1.85,650
White,Male,46.0,3.6,1.85,651
White,Female,38.0,3.6,1.85,652
White,Male,40.0,3.2,1.85,653
White,Male,46.0,3.4,1.85,654
White,Male,41.0,2.9,1.85,655
White,Male,39.0,3.8,1.85,656
White,Male,37.0,3.6,1.85,657
White,Female,39.0,3.4,1.85,658
White,Male,35.0,2.7,1.85,659
White,Male,41.0,3.2,1.85,660
White,Female,46.0,3.9,1.84,661
White,Male,47.0,3.9,1.84,662
White,Male,39.0,3.6,1.84,663
White,Male,39.0,2.5,1.84,664
White,Female,36.0,3.6,1.84,665
White,Male,37.5,3.2,1.84,666
White,Female,41.0,3.5,1.84,667
White,Male,46.0,3.4,1.84,668
White,Female,38.0,3.1,1.84,669
White,Female,37.0,3.9,1.84,670
White,Male,48.0,3.7,1.84,671
White,Male,39.0,3.5,1.84,672
White,Male,35.0,3.1,1.84,673
White,Male,31.0,3.1,1.84,674
White,Male,43.5,3.5,1.84,675
White,Male,39.0,3.1,1.84,676
White,Male,46.0,3.6,1.84,677
White,Male,40.0,3.9,1.84,678
White,Male,40.0,3.0,1.84,679
White,Male,38.0,2.8,1.83,680
White,Male,36.5,3.1,1.83,681
White,Male,43.0,3.1,1.83,682
White,Female,46.0,3.8,1.83,683
White,Female,33.0,3.7,1.83,684
White,Male,39.0,2.8,1.83,685
White,Male,38.0,3.2,1.83,686
White,Female,41.0,3.7,1.83,687
White,Female,39.0,2.7,1.83,688
White,Female,47.0,4.0,1.83,689
White,Female,46.0,3.6,1.83,690
White,Male,41.5,3.3,1.83,691
White,Female,33.0,3.3,1.83,692
White,Female,40.0,3.2,1.83,693
White,Female,39.0,3.5,1.83,694
White,Female,32.0,3.9,1.83,695
White,Female,45.0,3.6,1.83,696
White,Female,42.0,3.7,1.83,697
White,Male,46.0,3.7,1.83,698
White,Female,34.0,3.9,1.83,699
White,Male,34.0,3.3,1.83,700
White,Male,35.0,3.5,1.83,701
White,Male,41.5,3.7,1.83,702
Asian,Male,39.0,2.2,1.82,703
White,Female,40.0,2.6,1.82,704
White,Male,34.5,3.2,1.82,705
White,Female,42.0,3.7,1.82,706
White,Female,39.0,2.8,1.82,707
White,Female,37.0,3.5,1.82,708
White,Male,32.0,2.9,1.82,709
White,Male,34.0,3.0,1.82,710
White,Female,39.0,3.7,1.82,711
White,Male,26.7,3.0,1.82,712
White,Male,47.0,3.2,1.82,713
White,Male,41.0,3.2,1.82,714
White,Male,39.0,3.1,1.82,715
White,Male,42.0,3.6,1.82,716
White,Male,48.0,3.7,1.82,717
White,Male,45.0,3.5,1.82,718
White,Female,43.0,3.3,1.82,719
White,Male,42.0,2.9,1.82,720
White,Male,30.0,3.7,1.82,721
White,Male,29.0,3.2,1.82,722
White,Female,40.0,3.6,1.81,723
White,Male,32.0,3.7,1.81,724
White,Female,41.0,3.8,1.81,725
White,Female,32.5,3.4,1.81,726
White,Female,41.0,2.9,1.81,727
White,Female,37.0,3.4,1.81,728
White,Female,45.0,3.9,1.81,729
White,Female,32.5,3.4,1.81,730
White,Male,34.0,3.1,1.81,731
